symbol,currency,close_price,volume,trading_date_local,daily_return,volume_ma_20,close_ma_20,close_ma_50,price_change,price_volatility,year_month
XTB,PLN,6.40241,2707543,2016-05-06,,,,,,,2016-05
XTB,PLN,6.37555,582684,2016-05-09,-0.41952952091478535,,,,-0.026860000000000106,,2016-05
XTB,PLN,6.34373,59439,2016-05-10,-0.49909419579486913,,,,-0.03181999999999974,,2016-05
XTB,PLN,6.40241,325513,2016-05-11,0.9250078423892472,,,,0.05867999999999984,,2016-05
XTB,PLN,6.45537,599581,2016-05-12,0.8271885118260158,,,,0.05296000000000056,,2016-05
XTB,PLN,6.58814,267570,2016-05-13,2.0567372590571953,,,,0.13276999999999983,,2016-05
XTB,PLN,6.90619,249303,2016-05-16,4.82761447085216,,,,0.3180499999999995,,2016-05
XTB,PLN,6.90619,763315,2016-05-17,0.0,,,,0.0,,2016-05
XTB,PLN,7.215,232313,2016-05-18,4.471495860959518,,,,0.30881000000000025,,2016-05
XTB,PLN,7.38502,101074,2016-05-19,2.3564795564795515,,,,0.17002000000000006,,2016-05
XTB,PLN,7.59715,103913,2016-05-20,2.8724363644242024,,,,0.21213000000000015,,2016-05
XTB,PLN,7.43843,69533,2016-05-23,-2.0892045043206964,,,,-0.15871999999999975,,2016-05
XTB,PLN,7.5445,182458,2016-05-24,1.4259729539701338,,,,0.10606999999999989,,2016-05
XTB,PLN,7.97029,60384,2016-05-25,5.643713963814712,,,,0.4257900000000001,,2016-05
XTB,PLN,7.91611,8981,2016-05-27,-0.6797745125961652,,,,-0.05418000000000056,,2016-05
XTB,PLN,7.91154,124809,2016-05-30,-0.05773037514638091,,,,-0.004570000000000185,,2016-05
XTB,PLN,7.8047,80386,2016-05-31,-1.350432406333013,,,,-0.10683999999999916,,2016-05
XTB,PLN,7.65133,34192,2016-06-01,-1.9650979537970792,,,,-0.15337000000000067,,2016-06
XTB,PLN,7.3957,10826,2016-06-02,-3.34098777598143,,,,-0.25563,,2016-06
